Index,name,generation,attack,defense,hp,special_attack,special_defense,speed,type_1,type_2,url
21,pidgeotto,1,60,55,63,50,50,71,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Pidgeotto_(Pok%C3%A9mon)
22,pidgeot,1,80,75,83,70,70,101,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon)
23,pidgeot (mega pidgeot),1,80,80,83,135,80,121,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Pidgeot_(Pok%C3%A9mon)
24,rattata,1,56,35,30,25,35,72,normal,null,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon)
25,rattata (alolan rattata),1,56,35,30,25,35,72,normal,null,https://bulbapedia.bulbagarden.net/wiki/Rattata_(Pok%C3%A9mon)
26,raticate,1,81,60,55,50,70,97,normal,null,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon)
27,raticate (alolan raticate),1,71,70,75,40,80,77,normal,null,https://bulbapedia.bulbagarden.net/wiki/Raticate_(Pok%C3%A9mon)
28,spearow,1,60,30,40,31,31,70,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Spearow_(Pok%C3%A9mon)
29,fearow,1,90,65,65,61,61,100,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Fearow_(Pok%C3%A9mon)
30,ekans,1,60,44,35,40,54,55,poison,null,https://bulbapedia.bulbagarden.net/wiki/Ekans_(Pok%C3%A9mon)
31,arbok,1,95,69,60,65,79,80,poison,null,https://bulbapedia.bulbagarden.net/wiki/Arbok_(Pok%C3%A9mon)
32,pikachu,1,55,40,35,50,50,90,electric,null,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon)
33,pikachu (partner pikachu),1,80,50,45,75,60,120,electric,null,https://bulbapedia.bulbagarden.net/wiki/Pikachu_(Pok%C3%A9mon)
34,raichu,1,90,55,60,90,80,110,electric,null,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon)
35,raichu (alolan raichu),1,85,50,60,95,85,110,electric,null,https://bulbapedia.bulbagarden.net/wiki/Raichu_(Pok%C3%A9mon)
36,sandshrew,1,75,85,50,20,30,40,ground,null,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon)
37,sandshrew (alolan sandshrew),1,75,90,50,10,35,40,ground,null,https://bulbapedia.bulbagarden.net/wiki/Sandshrew_(Pok%C3%A9mon)
38,sandslash,1,100,110,75,45,55,65,ground,null,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon)
39,sandslash (alolan sandslash),1,100,120,75,25,65,65,ground,null,https://bulbapedia.bulbagarden.net/wiki/Sandslash_(Pok%C3%A9mon)
40,nidoran♀,1,47,52,55,40,40,41,poison,null,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%80_(Pok%C3%A9mon)
41,nidorina,1,62,67,70,55,55,56,poison,null,https://bulbapedia.bulbagarden.net/wiki/Nidorina_(Pok%C3%A9mon)
42,nidoqueen,1,92,87,90,75,85,76,poison,ground,https://bulbapedia.bulbagarden.net/wiki/Nidoqueen_(Pok%C3%A9mon)
43,nidoran♂,1,57,40,46,40,40,50,poison,null,https://bulbapedia.bulbagarden.net/wiki/Nidoran%E2%99%82_(Pok%C3%A9mon)
44,nidorino,1,72,57,61,55,55,65,poison,null,https://bulbapedia.bulbagarden.net/wiki/Nidorino_(Pok%C3%A9mon)
45,nidoking,1,102,77,81,85,75,85,poison,ground,https://bulbapedia.bulbagarden.net/wiki/Nidoking_(Pok%C3%A9mon)
46,clefairy,1,45,48,70,60,65,35,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Clefairy_(Pok%C3%A9mon)
47,clefable,1,70,73,95,95,90,60,fairy,null,https://bulbapedia.bulbagarden.net/wiki/Clefable_(Pok%C3%A9mon)
48,vulpix,1,41,40,38,50,65,65,fire,null,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon)
49,vulpix (alolan vulpix),1,41,40,38,50,65,65,fire,null,https://bulbapedia.bulbagarden.net/wiki/Vulpix_(Pok%C3%A9mon)
50,ninetales,1,76,75,73,81,100,100,fire,null,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon)
51,ninetales (alolan ninetales),1,67,75,73,81,100,109,fire,null,https://bulbapedia.bulbagarden.net/wiki/Ninetales_(Pok%C3%A9mon)
52,jigglypuff,1,45,20,115,45,25,20,normal,fairy,https://bulbapedia.bulbagarden.net/wiki/Jigglypuff_(Pok%C3%A9mon)
53,wigglytuff,1,70,45,140,85,50,45,normal,fairy,https://bulbapedia.bulbagarden.net/wiki/Wigglytuff_(Pok%C3%A9mon)
54,zubat,1,45,35,40,30,40,55,poison,flying,https://bulbapedia.bulbagarden.net/wiki/Zubat_(Pok%C3%A9mon)
55,golbat,1,80,70,75,65,75,90,poison,flying,https://bulbapedia.bulbagarden.net/wiki/Golbat_(Pok%C3%A9mon)
56,oddish,1,50,55,45,75,65,30,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Oddish_(Pok%C3%A9mon)
57,gloom,1,65,70,60,85,75,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Gloom_(Pok%C3%A9mon)
58,vileplume,1,80,85,75,110,90,50,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Vileplume_(Pok%C3%A9mon)
59,paras,1,70,55,35,45,55,25,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Paras_(Pok%C3%A9mon)
60,parasect,1,95,80,60,60,80,30,bug,grass,https://bulbapedia.bulbagarden.net/wiki/Parasect_(Pok%C3%A9mon)
61,venonat,1,55,50,60,40,55,45,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venonat_(Pok%C3%A9mon)
62,venomoth,1,65,60,70,90,75,90,bug,poison,https://bulbapedia.bulbagarden.net/wiki/Venomoth_(Pok%C3%A9mon)
63,diglett,1,55,25,10,35,45,95,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
64,diglett (alolan diglett),1,55,30,10,35,45,90,ground,null,https://bulbapedia.bulbagarden.net/wiki/Diglett_(Pok%C3%A9mon)
65,dugtrio,1,100,50,35,50,70,120,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
66,dugtrio (alolan dugtrio),1,100,60,35,50,70,110,ground,null,https://bulbapedia.bulbagarden.net/wiki/Dugtrio_(Pok%C3%A9mon)
67,meowth,1,45,35,40,40,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
68,meowth (alolan meowth),1,35,35,40,50,40,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Meowth_(Pok%C3%A9mon)
69,persian,1,70,60,65,65,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
70,persian (alolan persian),1,60,60,65,75,65,115,normal,null,https://bulbapedia.bulbagarden.net/wiki/Persian_(Pok%C3%A9mon)
71,psyduck,1,52,48,50,65,50,55,water,null,https://bulbapedia.bulbagarden.net/wiki/Psyduck_(Pok%C3%A9mon)
72,golduck,1,82,78,80,95,80,85,water,null,https://bulbapedia.bulbagarden.net/wiki/Golduck_(Pok%C3%A9mon)
73,mankey,1,80,35,40,35,45,70,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Mankey_(Pok%C3%A9mon)
74,primeape,1,105,60,65,60,70,95,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Primeape_(Pok%C3%A9mon)
75,growlithe,1,70,45,55,70,50,60,fire,null,https://bulbapedia.bulbagarden.net/wiki/Growlithe_(Pok%C3%A9mon)
76,arcanine,1,110,80,90,100,80,95,fire,null,https://bulbapedia.bulbagarden.net/wiki/Arcanine_(Pok%C3%A9mon)
77,poliwag,1,50,40,40,40,40,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwag_(Pok%C3%A9mon)
78,poliwhirl,1,65,65,65,50,50,90,water,null,https://bulbapedia.bulbagarden.net/wiki/Poliwhirl_(Pok%C3%A9mon)
79,poliwrath,1,95,95,90,70,90,70,water,fighting,https://bulbapedia.bulbagarden.net/wiki/Poliwrath_(Pok%C3%A9mon)
80,abra,1,20,15,25,105,55,90,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Abra_(Pok%C3%A9mon)
81,kadabra,1,35,30,40,120,70,105,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Kadabra_(Pok%C3%A9mon)
82,alakazam,1,50,45,55,135,95,120,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
83,alakazam (mega alakazam),1,50,65,55,175,105,150,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Alakazam_(Pok%C3%A9mon)
84,machop,1,80,50,70,35,35,35,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machop_(Pok%C3%A9mon)
85,machoke,1,100,70,80,50,60,45,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machoke_(Pok%C3%A9mon)
86,machamp,1,130,80,90,65,85,55,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Machamp_(Pok%C3%A9mon)
87,bellsprout,1,75,35,50,70,30,40,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Bellsprout_(Pok%C3%A9mon)
88,weepinbell,1,90,50,65,85,45,55,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Weepinbell_(Pok%C3%A9mon)
89,victreebel,1,105,65,80,100,70,70,grass,poison,https://bulbapedia.bulbagarden.net/wiki/Victreebel_(Pok%C3%A9mon)
90,tentacool,1,40,35,40,50,100,70,water,poison,https://bulbapedia.bulbagarden.net/wiki/Tentacool_(Pok%C3%A9mon)
91,tentacruel,1,70,65,80,80,120,100,water,poison,https://bulbapedia.bulbagarden.net/wiki/Tentacruel_(Pok%C3%A9mon)
92,geodude,1,80,100,40,30,30,20,rock,ground,https://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon)
93,geodude (alolan geodude),1,80,100,40,30,30,20,rock,ground,https://bulbapedia.bulbagarden.net/wiki/Geodude_(Pok%C3%A9mon)
94,graveler,1,95,115,55,45,45,35,rock,ground,https://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon)
95,graveler (alolan graveler),1,95,115,55,45,45,35,rock,ground,https://bulbapedia.bulbagarden.net/wiki/Graveler_(Pok%C3%A9mon)
96,golem,1,120,130,80,55,65,45,rock,ground,https://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon)
97,golem (alolan golem),1,120,130,80,55,65,45,rock,ground,https://bulbapedia.bulbagarden.net/wiki/Golem_(Pok%C3%A9mon)
98,ponyta,1,85,55,50,65,65,90,fire,null,https://bulbapedia.bulbagarden.net/wiki/Ponyta_(Pok%C3%A9mon)
99,rapidash,1,100,70,65,80,80,105,fire,null,https://bulbapedia.bulbagarden.net/wiki/Rapidash_(Pok%C3%A9mon)
100,slowpoke,1,65,65,90,40,40,15,water,psychic,https://bulbapedia.bulbagarden.net/wiki/Slowpoke_(Pok%C3%A9mon)
101,slowbro,1,75,110,95,100,80,30,water,psychic,https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon)
102,slowbro (mega slowbro),1,75,180,95,130,80,30,water,psychic,https://bulbapedia.bulbagarden.net/wiki/Slowbro_(Pok%C3%A9mon)
103,magnemite,1,35,70,25,95,55,45,electric,steel,https://bulbapedia.bulbagarden.net/wiki/Magnemite_(Pok%C3%A9mon)
104,magneton,1,60,95,50,120,70,70,electric,steel,https://bulbapedia.bulbagarden.net/wiki/Magneton_(Pok%C3%A9mon)
105,farfetch'd,1,90,55,52,58,62,60,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Farfetch%27d_(Pok%C3%A9mon)
106,doduo,1,85,45,35,35,35,75,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Doduo_(Pok%C3%A9mon)
107,dodrio,1,110,70,60,60,60,110,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Dodrio_(Pok%C3%A9mon)
108,seel,1,45,55,65,45,70,45,water,null,https://bulbapedia.bulbagarden.net/wiki/Seel_(Pok%C3%A9mon)
109,dewgong,1,70,80,90,70,95,70,water,ice,https://bulbapedia.bulbagarden.net/wiki/Dewgong_(Pok%C3%A9mon)
110,grimer,1,80,50,80,40,50,25,poison,null,https://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon)
111,grimer (alolan grimer),1,80,50,80,40,50,25,poison,null,https://bulbapedia.bulbagarden.net/wiki/Grimer_(Pok%C3%A9mon)
112,muk,1,105,75,105,65,100,50,poison,null,https://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon)
113,muk (alolan muk),1,105,75,105,65,100,50,poison,null,https://bulbapedia.bulbagarden.net/wiki/Muk_(Pok%C3%A9mon)
114,shellder,1,65,100,30,45,25,40,water,null,https://bulbapedia.bulbagarden.net/wiki/Shellder_(Pok%C3%A9mon)
115,cloyster,1,95,180,50,85,45,70,water,ice,https://bulbapedia.bulbagarden.net/wiki/Cloyster_(Pok%C3%A9mon)
116,gastly,1,35,30,30,100,35,80,ghost,poison,https://bulbapedia.bulbagarden.net/wiki/Gastly_(Pok%C3%A9mon)
117,haunter,1,50,45,45,115,55,95,ghost,poison,https://bulbapedia.bulbagarden.net/wiki/Haunter_(Pok%C3%A9mon)
118,gengar,1,65,60,60,130,75,110,ghost,poison,https://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon)
119,gengar (mega gengar),1,65,80,60,170,95,130,ghost,poison,https://bulbapedia.bulbagarden.net/wiki/Gengar_(Pok%C3%A9mon)
120,onix,1,45,160,35,30,45,70,rock,ground,https://bulbapedia.bulbagarden.net/wiki/Onix_(Pok%C3%A9mon)
121,drowzee,1,48,45,60,43,90,42,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Drowzee_(Pok%C3%A9mon)
122,hypno,1,73,70,85,73,115,67,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Hypno_(Pok%C3%A9mon)
123,krabby,1,105,90,30,25,25,50,water,null,https://bulbapedia.bulbagarden.net/wiki/Krabby_(Pok%C3%A9mon)
124,kingler,1,130,115,55,50,50,75,water,null,https://bulbapedia.bulbagarden.net/wiki/Kingler_(Pok%C3%A9mon)
125,voltorb,1,30,50,40,55,55,100,electric,null,https://bulbapedia.bulbagarden.net/wiki/Voltorb_(Pok%C3%A9mon)
126,electrode,1,50,70,60,80,80,150,electric,null,https://bulbapedia.bulbagarden.net/wiki/Electrode_(Pok%C3%A9mon)
127,exeggcute,1,40,80,60,60,45,40,grass,psychic,https://bulbapedia.bulbagarden.net/wiki/Exeggcute_(Pok%C3%A9mon)
128,exeggutor,1,95,85,95,125,75,55,grass,psychic,https://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon)
129,exeggutor (alolan exeggutor),1,105,85,95,125,75,45,grass,psychic,https://bulbapedia.bulbagarden.net/wiki/Exeggutor_(Pok%C3%A9mon)
130,cubone,1,50,95,50,40,50,35,ground,null,https://bulbapedia.bulbagarden.net/wiki/Cubone_(Pok%C3%A9mon)
131,marowak,1,80,110,60,50,80,45,ground,null,https://bulbapedia.bulbagarden.net/wiki/Marowak_(Pok%C3%A9mon)
132,marowak (alolan marowak),1,80,110,60,50,80,45,ground,null,https://bulbapedia.bulbagarden.net/wiki/Marowak_(Pok%C3%A9mon)
133,hitmonlee,1,120,53,50,35,110,87,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Hitmonlee_(Pok%C3%A9mon)
134,hitmonchan,1,105,79,50,35,110,76,fighting,null,https://bulbapedia.bulbagarden.net/wiki/Hitmonchan_(Pok%C3%A9mon)
135,lickitung,1,55,75,90,60,75,30,normal,null,https://bulbapedia.bulbagarden.net/wiki/Lickitung_(Pok%C3%A9mon)
136,koffing,1,65,95,40,60,45,35,poison,null,https://bulbapedia.bulbagarden.net/wiki/Koffing_(Pok%C3%A9mon)
137,weezing,1,90,120,65,85,70,60,poison,null,https://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon)
138,rhyhorn,1,85,95,80,30,30,25,ground,rock,https://bulbapedia.bulbagarden.net/wiki/Rhyhorn_(Pok%C3%A9mon)
139,rhydon,1,130,120,105,45,45,40,ground,rock,https://bulbapedia.bulbagarden.net/wiki/Rhydon_(Pok%C3%A9mon)
140,chansey,1,5,5,250,35,105,50,normal,null,https://bulbapedia.bulbagarden.net/wiki/Chansey_(Pok%C3%A9mon)
141,tangela,1,55,115,65,100,40,60,grass,null,https://bulbapedia.bulbagarden.net/wiki/Tangela_(Pok%C3%A9mon)
142,kangaskhan,1,95,80,105,40,80,90,normal,null,https://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon)
143,kangaskhan (mega kangaskhan),1,125,100,105,60,100,100,normal,null,https://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon)
144,horsea,1,40,70,30,70,25,60,water,null,https://bulbapedia.bulbagarden.net/wiki/Horsea_(Pok%C3%A9mon)
145,seadra,1,65,95,55,95,45,85,water,null,https://bulbapedia.bulbagarden.net/wiki/Seadra_(Pok%C3%A9mon)
146,goldeen,1,67,60,45,35,50,63,water,null,https://bulbapedia.bulbagarden.net/wiki/Goldeen_(Pok%C3%A9mon)
147,seaking,1,92,65,80,65,80,68,water,null,https://bulbapedia.bulbagarden.net/wiki/Seaking_(Pok%C3%A9mon)
148,staryu,1,45,55,30,70,55,85,water,null,https://bulbapedia.bulbagarden.net/wiki/Staryu_(Pok%C3%A9mon)
149,starmie,1,75,85,60,100,85,115,water,psychic,https://bulbapedia.bulbagarden.net/wiki/Starmie_(Pok%C3%A9mon)
150,mr. mime,1,45,65,40,100,120,90,psychic,fairy,https://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Pok%C3%A9mon)
151,scyther,1,110,80,70,55,80,105,bug,flying,https://bulbapedia.bulbagarden.net/wiki/Scyther_(Pok%C3%A9mon)
152,jynx,1,50,35,65,115,95,95,ice,psychic,https://bulbapedia.bulbagarden.net/wiki/Jynx_(Pok%C3%A9mon)
153,electabuzz,1,83,57,65,95,85,105,electric,null,https://bulbapedia.bulbagarden.net/wiki/Electabuzz_(Pok%C3%A9mon)
154,magmar,1,95,57,65,100,85,93,fire,null,https://bulbapedia.bulbagarden.net/wiki/Magmar_(Pok%C3%A9mon)
155,pinsir,1,125,100,65,55,70,85,bug,null,https://bulbapedia.bulbagarden.net/wiki/Pinsir_(Pok%C3%A9mon)
156,pinsir (mega pinsir),1,155,120,65,65,90,105,bug,null,https://bulbapedia.bulbagarden.net/wiki/Pinsir_(Pok%C3%A9mon)
157,tauros,1,100,95,75,40,70,110,normal,null,https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon)
158,magikarp,1,10,55,20,15,20,80,water,null,https://bulbapedia.bulbagarden.net/wiki/Magikarp_(Pok%C3%A9mon)
159,gyarados,1,125,79,95,60,100,81,water,flying,https://bulbapedia.bulbagarden.net/wiki/Gyarados_(Pok%C3%A9mon)
160,gyarados (mega gyarados),1,155,109,95,70,130,81,water,flying,https://bulbapedia.bulbagarden.net/wiki/Gyarados_(Pok%C3%A9mon)
161,lapras,1,85,80,130,85,95,60,water,ice,https://bulbapedia.bulbagarden.net/wiki/Lapras_(Pok%C3%A9mon)
162,ditto,1,48,48,48,48,48,48,normal,null,https://bulbapedia.bulbagarden.net/wiki/Ditto_(Pok%C3%A9mon)
163,eevee,1,55,50,55,45,65,55,normal,null,https://bulbapedia.bulbagarden.net/wiki/Eevee_(Pok%C3%A9mon)
164,eevee (partner eevee),1,75,70,65,65,85,75,normal,null,https://bulbapedia.bulbagarden.net/wiki/Eevee_(Pok%C3%A9mon)
165,vaporeon,1,65,60,130,110,95,65,water,null,https://bulbapedia.bulbagarden.net/wiki/Vaporeon_(Pok%C3%A9mon)
166,jolteon,1,65,60,65,110,95,130,electric,null,https://bulbapedia.bulbagarden.net/wiki/Jolteon_(Pok%C3%A9mon)
167,flareon,1,130,60,65,95,110,65,fire,null,https://bulbapedia.bulbagarden.net/wiki/Flareon_(Pok%C3%A9mon)
168,porygon,1,60,70,65,85,75,40,normal,null,https://bulbapedia.bulbagarden.net/wiki/Porygon_(Pok%C3%A9mon)
169,omanyte,1,40,100,35,90,55,35,rock,water,https://bulbapedia.bulbagarden.net/wiki/Omanyte_(Pok%C3%A9mon)
170,omastar,1,60,125,70,115,70,55,rock,water,https://bulbapedia.bulbagarden.net/wiki/Omastar_(Pok%C3%A9mon)
171,kabuto,1,80,90,30,55,45,55,rock,water,https://bulbapedia.bulbagarden.net/wiki/Kabuto_(Pok%C3%A9mon)
172,kabutops,1,115,105,60,65,70,80,rock,water,https://bulbapedia.bulbagarden.net/wiki/Kabutops_(Pok%C3%A9mon)
173,aerodactyl,1,105,65,80,60,75,130,rock,flying,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon)
174,aerodactyl (mega aerodactyl),1,135,85,80,70,95,150,rock,flying,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon)
175,snorlax,1,110,65,160,65,110,30,normal,null,https://bulbapedia.bulbagarden.net/wiki/Snorlax_(Pok%C3%A9mon)
176,articuno,1,85,100,90,95,125,85,ice,flying,https://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon)
177,zapdos,1,90,85,90,125,90,100,electric,flying,https://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon)
178,moltres,1,100,90,90,125,85,90,fire,flying,https://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon)
179,dratini,1,64,45,41,50,50,50,dragon,null,https://bulbapedia.bulbagarden.net/wiki/Dratini_(Pok%C3%A9mon)
180,dragonair,1,84,65,61,70,70,70,dragon,null,https://bulbapedia.bulbagarden.net/wiki/Dragonair_(Pok%C3%A9mon)
181,dragonite,1,134,95,91,100,100,80,dragon,flying,https://bulbapedia.bulbagarden.net/wiki/Dragonite_(Pok%C3%A9mon)
182,mewtwo,1,110,90,106,154,90,130,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon)
183,mewtwo (mega mewtwo x),1,190,100,106,154,100,130,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon)
184,mewtwo (mega mewtwo y),1,150,70,106,194,120,140,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon)
185,mew,1,100,100,100,100,100,100,psychic,null,https://bulbapedia.bulbagarden.net/wiki/Mew_(Pok%C3%A9mon)
186,rowlet,7,55,55,68,50,50,42,grass,flying,https://bulbapedia.bulbagarden.net/wiki/Rowlet_(Pok%C3%A9mon)
187,dartrix,7,75,75,78,70,70,52,grass,flying,https://bulbapedia.bulbagarden.net/wiki/Dartrix_(Pok%C3%A9mon)
188,decidueye,7,107,75,78,100,100,70,grass,ghost,https://bulbapedia.bulbagarden.net/wiki/Decidueye_(Pok%C3%A9mon)
189,litten,7,65,40,45,60,40,70,fire,null,https://bulbapedia.bulbagarden.net/wiki/Litten_(Pok%C3%A9mon)
190,torracat,7,85,50,65,80,50,90,fire,null,https://bulbapedia.bulbagarden.net/wiki/Torracat_(Pok%C3%A9mon)
191,incineroar,7,115,90,95,80,90,60,fire,dark,https://bulbapedia.bulbagarden.net/wiki/Incineroar_(Pok%C3%A9mon)
192,popplio,7,54,54,50,66,56,40,water,null,https://bulbapedia.bulbagarden.net/wiki/Popplio_(Pok%C3%A9mon)
193,brionne,7,69,69,60,91,81,50,water,null,https://bulbapedia.bulbagarden.net/wiki/Brionne_(Pok%C3%A9mon)
194,primarina,7,74,74,80,126,116,60,water,fairy,https://bulbapedia.bulbagarden.net/wiki/Primarina_(Pok%C3%A9mon)
195,pikipek,7,75,30,35,30,30,65,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Pikipek_(Pok%C3%A9mon)
196,trumbeak,7,85,50,55,40,50,75,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Trumbeak_(Pok%C3%A9mon)
197,toucannon,7,120,75,80,75,75,60,normal,flying,https://bulbapedia.bulbagarden.net/wiki/Toucannon_(Pok%C3%A9mon)
198,yungoos,7,70,30,48,30,30,45,normal,null,https://bulbapedia.bulbagarden.net/wiki/Yungoos_(Pok%C3%A9mon)
199,gumshoos,7,110,60,88,55,60,45,normal,null,https://bulbapedia.bulbagarden.net/wiki/Gumshoos_(Pok%C3%A9mon)
